team_id,weighted_attack,weighted_deffense
210,1.0963536349999998,1.1339409699999998
205,1.2382034949999998,1.5438973599999999
420,0.8153120947368421,1.5559538052631579
197,1.9743690157894735,1.0069842210526314
417,1.2754798105263156,1.5278089578947367
202,0.9449624789473684,1.7026313736842105
200,1.300907885,1.3070343249999998
413,1.2699237631578946,1.2652713684210526
201,1.5297458599999998,1.18252749
196,0.912169247368421,1.7639290578947369
410,1.1790863578947368,1.5213101842105263
208,0.8830341199999999,1.3521865849999999
207,1.356024255,1.2336892499999998
209,1.8959167842105262,0.7821871789473683
416,1.020788085,1.7171579149999998
194,2.0226943157894737,0.8604229421052632
415,1.5269118526315788,0.8676894999999999
426,1.24336355,1.112492265
