Player,deciles,variable,type_variable
E. Tapsoba,14,Shots per 90,Positioning
E. Tapsoba,25,shots,Finishing
E. Tapsoba,95,Progressive passes per 90,Buildup
E. Tapsoba,10,Sliding tackles per 90,Defense
E. Tapsoba,96,Passes per 90,Buildup
E. Tapsoba,15,Fouls suffered per 90,Chance creation
E. Tapsoba,24,Dribbles per 90,Chance creation
E. Tapsoba,18,Successful_dribbles,Chance creation
E. Tapsoba,92,Penalties taken,Finishing
E. Tapsoba,95,Penalties_won,Finishing
P. Hincapié,43,xG per 90,Finishing
P. Hincapié,35,xA per 90,Buildup
P. Hincapié,43,Touches in box per 90,Chance creation
P. Hincapié,67,Progressive runs per 90,Buildup
P. Hincapié,54,Back passes per 90,Positioning
P. Hincapié,86,Lateral passes per 90,Positioning
P. Hincapié,81,"Average long pass length, m",Buildup
P. Hincapié,19,Key passes per 90,Buildup
P. Hincapié,35,Shots per 90,Positioning
P. Hincapié,32,shots,Finishing
P. Hincapié,91,Progressive passes per 90,Buildup
P. Hincapié,73,Sliding tackles per 90,Defense
P. Hincapié,93,Passes per 90,Buildup
P. Hincapié,66,Fouls suffered per 90,Chance creation
P. Hincapié,26,Dribbles per 90,Chance creation
P. Hincapié,21,Successful_dribbles,Chance creation
P. Hincapié,2,Penalties taken,Finishing
P. Hincapié,2,Penalties_won,Finishing
O. Kossounou,1,xG per 90,Finishing
O. Kossounou,1,xA per 90,Buildup
O. Kossounou,7,Touches in box per 90,Chance creation
O. Kossounou,64,Progressive runs per 90,Buildup
O. Kossounou,28,Back passes per 90,Positioning
O. Kossounou,73,Lateral passes per 90,Positioning
O. Kossounou,49,"Average long pass length, m",Buildup
O. Kossounou,15,Key passes per 90,Buildup
O. Kossounou,5,Shots per 90,Positioning
O. Kossounou,1,shots,Finishing
O. Kossounou,91,Progressive passes per 90,Buildup
O. Kossounou,27,Sliding tackles per 90,Defense
O. Kossounou,86,Passes per 90,Buildup
O. Kossounou,4,Fouls suffered per 90,Chance creation
O. Kossounou,24,Dribbles per 90,Chance creation
O. Kossounou,30,Successful_dribbles,Chance creation
O. Kossounou,2,Penalties taken,Finishing
O. Kossounou,2,Penalties_won,Finishing
J. Tah,17,xG per 90,Finishing
J. Tah,1,xA per 90,Buildup
J. Tah,13,Touches in box per 90,Chance creation
J. Tah,6,Progressive runs per 90,Buildup
J. Tah,12,Back passes per 90,Positioning
J. Tah,97,Lateral passes per 90,Positioning
J. Tah,56,"Average long pass length, m",Buildup
J. Tah,1,Key passes per 90,Buildup
J. Tah,7,Shots per 90,Positioning
J. Tah,19,shots,Finishing
J. Tah,49,Progressive passes per 90,Buildup
J. Tah,26,Sliding tackles per 90,Defense
J. Tah,89,Passes per 90,Buildup
J. Tah,2,Fouls suffered per 90,Chance creation
J. Tah,9,Dribbles per 90,Chance creation
J. Tah,8,Successful_dribbles,Chance creation
J. Tah,2,Penalties taken,Finishing
J. Tah,2,Penalties_won,Finishing
M. Lacroix,24,xG per 90,Finishing
M. Lacroix,11,xA per 90,Buildup
M. Lacroix,12,Touches in box per 90,Chance creation
M. Lacroix,42,Progressive runs per 90,Buildup
M. Lacroix,7,Back passes per 90,Positioning
M. Lacroix,95,Lateral passes per 90,Positioning
M. Lacroix,85,"Average long pass length, m",Buildup
M. Lacroix,1,Key passes per 90,Buildup
M. Lacroix,7,Shots per 90,Positioning
M. Lacroix,16,shots,Finishing
M. Lacroix,89,Progressive passes per 90,Buildup
M. Lacroix,26,Sliding tackles per 90,Defense
M. Lacroix,89,Passes per 90,Buildup
M. Lacroix,19,Fouls suffered per 90,Chance creation
M. Lacroix,24,Dribbles per 90,Chance creation
M. Lacroix,27,Successful_dribbles,Chance creation
M. Lacroix,2,Penalties taken,Finishing
M. Lacroix,2,Penalties_won,Finishing
N. Elvedi,43,xG per 90,Finishing
N. Elvedi,20,xA per 90,Buildup
N. Elvedi,35,Touches in box per 90,Chance creation
N. Elvedi,41,Progressive runs per 90,Buildup
N. Elvedi,26,Back passes per 90,Positioning
N. Elvedi,98,Lateral passes per 90,Positioning
N. Elvedi,68,"Average long pass length, m",Buildup
N. Elvedi,11,Key passes per 90,Buildup
N. Elvedi,33,Shots per 90,Positioning
N. Elvedi,20,shots,Finishing
N. Elvedi,46,Progressive passes per 90,Buildup
N. Elvedi,81,Sliding tackles per 90,Defense
