Player,deciles,variable,type_variable
Nuno Lima,3,Dribbles per 90,Chance creation
Nuno Lima,2,Successful_dribbles,Chance creation
Nuno Lima,19,Penalties taken,Finishing
Nuno Lima,19,Penalties_won,Finishing
R. Pantalon,26,xG per 90,Finishing
R. Pantalon,15,xA per 90,Buildup
R. Pantalon,21,Touches in box per 90,Chance creation
R. Pantalon,14,Progressive runs per 90,Buildup
R. Pantalon,4,Back passes per 90,Positioning
R. Pantalon,75,Lateral passes per 90,Positioning
R. Pantalon,60,"Average long pass length, m",Buildup
R. Pantalon,24,Key passes per 90,Buildup
R. Pantalon,9,Shots per 90,Positioning
R. Pantalon,10,shots,Finishing
R. Pantalon,52,Progressive passes per 90,Buildup
R. Pantalon,40,Sliding tackles per 90,Defense
R. Pantalon,64,Passes per 90,Buildup
R. Pantalon,4,Fouls suffered per 90,Chance creation
R. Pantalon,10,Dribbles per 90,Chance creation
R. Pantalon,36,Successful_dribbles,Chance creation
R. Pantalon,19,Penalties taken,Finishing
R. Pantalon,19,Penalties_won,Finishing
Carlos Ponck,19,xG per 90,Finishing
Carlos Ponck,36,xA per 90,Buildup
Carlos Ponck,19,Touches in box per 90,Chance creation
Carlos Ponck,5,Progressive runs per 90,Buildup
Carlos Ponck,2,Back passes per 90,Positioning
Carlos Ponck,86,Lateral passes per 90,Positioning
Carlos Ponck,59,"Average long pass length, m",Buildup
Carlos Ponck,24,Key passes per 90,Buildup
Carlos Ponck,25,Shots per 90,Positioning
Carlos Ponck,3,shots,Finishing
Carlos Ponck,51,Progressive passes per 90,Buildup
Carlos Ponck,16,Sliding tackles per 90,Defense
Carlos Ponck,66,Passes per 90,Buildup
Carlos Ponck,3,Fouls suffered per 90,Chance creation
Carlos Ponck,11,Dribbles per 90,Chance creation
Carlos Ponck,7,Successful_dribbles,Chance creation
Carlos Ponck,19,Penalties taken,Finishing
Carlos Ponck,19,Penalties_won,Finishing
M. Tounkara,11,xG per 90,Finishing
M. Tounkara,8,xA per 90,Buildup
M. Tounkara,6,Touches in box per 90,Chance creation
M. Tounkara,19,Progressive runs per 90,Buildup
M. Tounkara,8,Back passes per 90,Positioning
M. Tounkara,55,Lateral passes per 90,Positioning
M. Tounkara,51,"Average long pass length, m",Buildup
M. Tounkara,7,Key passes per 90,Buildup
M. Tounkara,4,Shots per 90,Positioning
M. Tounkara,9,shots,Finishing
M. Tounkara,29,Progressive passes per 90,Buildup
M. Tounkara,40,Sliding tackles per 90,Defense
M. Tounkara,36,Passes per 90,Buildup
M. Tounkara,8,Fouls suffered per 90,Chance creation
M. Tounkara,12,Dribbles per 90,Chance creation
M. Tounkara,8,Successful_dribbles,Chance creation
M. Tounkara,19,Penalties taken,Finishing
M. Tounkara,19,Penalties_won,Finishing
Ítalo,11,xG per 90,Finishing
Ítalo,8,xA per 90,Buildup
Ítalo,41,Touches in box per 90,Chance creation
Ítalo,5,Progressive runs per 90,Buildup
Ítalo,2,Back passes per 90,Positioning
Ítalo,64,Lateral passes per 90,Positioning
Ítalo,62,"Average long pass length, m",Buildup
Ítalo,7,Key passes per 90,Buildup
Ítalo,9,Shots per 90,Positioning
Ítalo,3,shots,Finishing
Ítalo,51,Progressive passes per 90,Buildup
Ítalo,14,Sliding tackles per 90,Defense
Ítalo,36,Passes per 90,Buildup
Ítalo,12,Fouls suffered per 90,Chance creation
Ítalo,24,Dribbles per 90,Chance creation
Ítalo,22,Successful_dribbles,Chance creation
Ítalo,19,Penalties taken,Finishing
Ítalo,19,Penalties_won,Finishing
Mexer,57,xG per 90,Finishing
Mexer,8,xA per 90,Buildup
Mexer,37,Touches in box per 90,Chance creation
Mexer,3,Progressive runs per 90,Buildup
Mexer,23,Back passes per 90,Positioning
Mexer,97,Lateral passes per 90,Positioning
Mexer,73,"Average long pass length, m",Buildup
Mexer,7,Key passes per 90,Buildup
Mexer,53,Shots per 90,Positioning
Mexer,77,shots,Finishing
Mexer,41,Progressive passes per 90,Buildup
Mexer,56,Sliding tackles per 90,Defense
Mexer,85,Passes per 90,Buildup
Mexer,42,Fouls suffered per 90,Chance creation
Mexer,15,Dribbles per 90,Chance creation
Mexer,13,Successful_dribbles,Chance creation
Mexer,19,Penalties taken,Finishing
Mexer,19,Penalties_won,Finishing
Fernando Varela,57,xG per 90,Finishing
Fernando Varela,8,xA per 90,Buildup
Fernando Varela,35,Touches in box per 90,Chance creation
Fernando Varela,9,Progressive runs per 90,Buildup
Fernando Varela,3,Back passes per 90,Positioning
Fernando Varela,55,Lateral passes per 90,Positioning
Fernando Varela,61,"Average long pass length, m",Buildup
Fernando Varela,14,Key passes per 90,Buildup
Fernando Varela,34,Shots per 90,Positioning
Fernando Varela,27,shots,Finishing
Fernando Varela,53,Progressive passes per 90,Buildup
Fernando Varela,8,Sliding tackles per 90,Defense
Fernando Varela,45,Passes per 90,Buildup
Fernando Varela,26,Fouls suffered per 90,Chance creation
Fernando Varela,5,Dribbles per 90,Chance creation
Fernando Varela,4,Successful_dribbles,Chance creation
Fernando Varela,19,Penalties taken,Finishing
Fernando Varela,19,Penalties_won,Finishing
M. Mosquera,26,xG per 90,Finishing
M. Mosquera,8,xA per 90,Buildup
M. Mosquera,15,Touches in box per 90,Chance creation
M. Mosquera,23,Progressive runs per 90,Buildup
M. Mosquera,3,Back passes per 90,Positioning
M. Mosquera,77,Lateral passes per 90,Positioning
M. Mosquera,51,"Average long pass length, m",Buildup
M. Mosquera,16,Key passes per 90,Buildup
M. Mosquera,36,Shots per 90,Positioning
M. Mosquera,54,shots,Finishing
M. Mosquera,55,Progressive passes per 90,Buildup
M. Mosquera,87,Sliding tackles per 90,Defense
M. Mosquera,55,Passes per 90,Buildup
M. Mosquera,19,Fouls suffered per 90,Chance creation
M. Mosquera,31,Dribbles per 90,Chance creation
M. Mosquera,33,Successful_dribbles,Chance creation
M. Mosquera,19,Penalties taken,Finishing
M. Mosquera,19,Penalties_won,Finishing
Renê,39,xG per 90,Finishing
Renê,29,xA per 90,Buildup
Renê,33,Touches in box per 90,Chance creation
Renê,1,Progressive runs per 90,Buildup
Renê,20,Back passes per 90,Positioning
Renê,89,Lateral passes per 90,Positioning
Renê,100,"Average long pass length, m",Buildup
Renê,22,Key passes per 90,Buildup
Renê,29,Shots per 90,Positioning
Renê,49,shots,Finishing
Renê,46,Progressive passes per 90,Buildup
Renê,52,Sliding tackles per 90,Defense
Renê,71,Passes per 90,Buildup
Renê,56,Fouls suffered per 90,Chance creation
Renê,12,Dribbles per 90,Chance creation
Renê,8,Successful_dribbles,Chance creation
Renê,19,Penalties taken,Finishing
Renê,19,Penalties_won,Finishing
Aderllan Santos,26,xG per 90,Finishing
Aderllan Santos,8,xA per 90,Buildup
Aderllan Santos,17,Touches in box per 90,Chance creation
Aderllan Santos,6,Progressive runs per 90,Buildup
Aderllan Santos,4,Back passes per 90,Positioning
Aderllan Santos,96,Lateral passes per 90,Positioning
Aderllan Santos,90,"Average long pass length, m",Buildup
Aderllan Santos,7,Key passes per 90,Buildup
Aderllan Santos,31,Shots per 90,Positioning
Aderllan Santos,32,shots,Finishing
Aderllan Santos,49,Progressive passes per 90,Buildup
Aderllan Santos,49,Sliding tackles per 90,Defense
Aderllan Santos,85,Passes per 90,Buildup
Aderllan Santos,11,Fouls suffered per 90,Chance creation
Aderllan Santos,3,Dribbles per 90,Chance creation
Aderllan Santos,3,Successful_dribbles,Chance creation
Aderllan Santos,19,Penalties taken,Finishing
Aderllan Santos,19,Penalties_won,Finishing
Zainadine Júnior,39,xG per 90,Finishing
Zainadine Júnior,15,xA per 90,Buildup
Zainadine Júnior,37,Touches in box per 90,Chance creation
Zainadine Júnior,11,Progressive runs per 90,Buildup
Zainadine Júnior,13,Back passes per 90,Positioning
Zainadine Júnior,88,Lateral passes per 90,Positioning
Zainadine Júnior,96,"Average long pass length, m",Buildup
Zainadine Júnior,22,Key passes per 90,Buildup
Zainadine Júnior,32,Shots per 90,Positioning
Zainadine Júnior,31,shots,Finishing
Zainadine Júnior,52,Progressive passes per 90,Buildup
Zainadine Júnior,40,Sliding tackles per 90,Defense
Zainadine Júnior,70,Passes per 90,Buildup
Zainadine Júnior,45,Fouls suffered per 90,Chance creation
Zainadine Júnior,6,Dribbles per 90,Chance creation
Zainadine Júnior,8,Successful_dribbles,Chance creation
Zainadine Júnior,19,Penalties taken,Finishing
Zainadine Júnior,19,Penalties_won,Finishing
Rúben Fernandes,26,xG per 90,Finishing
Rúben Fernandes,8,xA per 90,Buildup
Rúben Fernandes,25,Touches in box per 90,Chance creation
Rúben Fernandes,4,Progressive runs per 90,Buildup
Rúben Fernandes,12,Back passes per 90,Positioning
Rúben Fernandes,92,Lateral passes per 90,Positioning
Rúben Fernandes,69,"Average long pass length, m",Buildup
Rúben Fernandes,7,Key passes per 90,Buildup
Rúben Fernandes,15,Shots per 90,Positioning
Rúben Fernandes,3,shots,Finishing
Rúben Fernandes,69,Progressive passes per 90,Buildup
Rúben Fernandes,72,Sliding tackles per 90,Defense
Rúben Fernandes,83,Passes per 90,Buildup
Rúben Fernandes,9,Fouls suffered per 90,Chance creation
Rúben Fernandes,14,Dribbles per 90,Chance creation
Rúben Fernandes,14,Successful_dribbles,Chance creation
Rúben Fernandes,19,Penalties taken,Finishing
Rúben Fernandes,19,Penalties_won,Finishing
Steven Vitória,80,xG per 90,Finishing
Steven Vitória,8,xA per 90,Buildup
Steven Vitória,37,Touches in box per 90,Chance creation
Steven Vitória,4,Progressive runs per 90,Buildup
Steven Vitória,3,Back passes per 90,Positioning
Steven Vitória,80,Lateral passes per 90,Positioning
Steven Vitória,93,"Average long pass length, m",Buildup
Steven Vitória,7,Key passes per 90,Buildup
Steven Vitória,49,Shots per 90,Positioning
Steven Vitória,38,shots,Finishing
Steven Vitória,39,Progressive passes per 90,Buildup
Steven Vitória,31,Sliding tackles per 90,Defense
Steven Vitória,48,Passes per 90,Buildup
Steven Vitória,22,Fouls suffered per 90,Chance creation
Steven Vitória,6,Dribbles per 90,Chance creation
Steven Vitória,5,Successful_dribbles,Chance creation
Steven Vitória,99,Penalties taken,Finishing
Steven Vitória,99,Penalties_won,Finishing
Vasco Fernandes,33,xG per 90,Finishing
Vasco Fernandes,15,xA per 90,Buildup
Vasco Fernandes,19,Touches in box per 90,Chance creation
Vasco Fernandes,5,Progressive runs per 90,Buildup
Vasco Fernandes,3,Back passes per 90,Positioning
Vasco Fernandes,82,Lateral passes per 90,Positioning
Vasco Fernandes,89,"Average long pass length, m",Buildup
Vasco Fernandes,20,Key passes per 90,Buildup
Vasco Fernandes,9,Shots per 90,Positioning
Vasco Fernandes,31,shots,Finishing
Vasco Fernandes,54,Progressive passes per 90,Buildup
Vasco Fernandes,40,Sliding tackles per 90,Defense
Vasco Fernandes,64,Passes per 90,Buildup
Vasco Fernandes,33,Fouls suffered per 90,Chance creation
Vasco Fernandes,12,Dribbles per 90,Chance creation
Vasco Fernandes,12,Successful_dribbles,Chance creation
Vasco Fernandes,19,Penalties taken,Finishing
Vasco Fernandes,19,Penalties_won,Finishing
O. Diomandé,50,xG per 90,Finishing
O. Diomandé,8,xA per 90,Buildup
O. Diomandé,26,Touches in box per 90,Chance creation
O. Diomandé,68,Progressive runs per 90,Buildup
O. Diomandé,62,Back passes per 90,Positioning
O. Diomandé,100,Lateral passes per 90,Positioning
O. Diomandé,48,"Average long pass length, m",Buildup
O. Diomandé,7,Key passes per 90,Buildup
O. Diomandé,54,Shots per 90,Positioning
O. Diomandé,74,shots,Finishing
O. Diomandé,99,Progressive passes per 90,Buildup
O. Diomandé,1,Sliding tackles per 90,Defense
O. Diomandé,100,Passes per 90,Buildup
O. Diomandé,6,Fouls suffered per 90,Chance creation
O. Diomandé,26,Dribbles per 90,Chance creation
O. Diomandé,31,Successful_dribbles,Chance creation
O. Diomandé,19,Penalties taken,Finishing
O. Diomandé,19,Penalties_won,Finishing
António Silva,63,xG per 90,Finishing
António Silva,15,xA per 90,Buildup
António Silva,33,Touches in box per 90,Chance creation
António Silva,55,Progressive runs per 90,Buildup
António Silva,18,Back passes per 90,Positioning
António Silva,97,Lateral passes per 90,Positioning
António Silva,98,"Average long pass length, m",Buildup
António Silva,24,Key passes per 90,Buildup
António Silva,33,Shots per 90,Positioning
António Silva,28,shots,Finishing
António Silva,71,Progressive passes per 90,Buildup
António Silva,21,Sliding tackles per 90,Defense
António Silva,93,Passes per 90,Buildup
António Silva,6,Fouls suffered per 90,Chance creation
António Silva,17,Dribbles per 90,Chance creation
António Silva,14,Successful_dribbles,Chance creation
António Silva,19,Penalties taken,Finishing
António Silva,19,Penalties_won,Finishing
M. Škriniar,27,xG per 90,Finishing
M. Škriniar,30,xA per 90,Buildup
M. Škriniar,29,Touches in box per 90,Chance creation
M. Škriniar,31,Progressive runs per 90,Buildup
M. Škriniar,33,Back passes per 90,Positioning
M. Škriniar,98,Lateral passes per 90,Positioning
M. Škriniar,44,"Average long pass length, m",Buildup
M. Škriniar,16,Key passes per 90,Buildup
M. Škriniar,22,Shots per 90,Positioning
M. Škriniar,29,shots,Finishing
M. Škriniar,64,Progressive passes per 90,Buildup
M. Škriniar,71,Sliding tackles per 90,Defense
M. Škriniar,97,Passes per 90,Buildup
M. Škriniar,27,Fouls suffered per 90,Chance creation
M. Škriniar,10,Dribbles per 90,Chance creation
M. Škriniar,10,Successful_dribbles,Chance creation
M. Škriniar,21,Penalties taken,Finishing
M. Škriniar,21,Penalties_won,Finishing
A. Bastoni,27,xG per 90,Finishing
A. Bastoni,47,xA per 90,Buildup
A. Bastoni,47,Touches in box per 90,Chance creation
A. Bastoni,81,Progressive runs per 90,Buildup
A. Bastoni,40,Back passes per 90,Positioning
A. Bastoni,94,Lateral passes per 90,Positioning
A. Bastoni,93,"Average long pass length, m",Buildup
A. Bastoni,55,Key passes per 90,Buildup
A. Bastoni,26,Shots per 90,Positioning
A. Bastoni,40,shots,Finishing
A. Bastoni,99,Progressive passes per 90,Buildup
A. Bastoni,44,Sliding tackles per 90,Defense
A. Bastoni,95,Passes per 90,Buildup
A. Bastoni,23,Fouls suffered per 90,Chance creation
A. Bastoni,25,Dribbles per 90,Chance creation
A. Bastoni,21,Successful_dribbles,Chance creation
A. Bastoni,21,Penalties taken,Finishing
A. Bastoni,21,Penalties_won,Finishing
Min-Jae Kim,27,xG per 90,Finishing
Min-Jae Kim,30,xA per 90,Buildup
Min-Jae Kim,29,Touches in box per 90,Chance creation
Min-Jae Kim,63,Progressive runs per 90,Buildup
Min-Jae Kim,12,Back passes per 90,Positioning
Min-Jae Kim,99,Lateral passes per 90,Positioning
Min-Jae Kim,91,"Average long pass length, m",Buildup
Min-Jae Kim,29,Key passes per 90,Buildup
Min-Jae Kim,4,Shots per 90,Positioning
Min-Jae Kim,8,shots,Finishing
Min-Jae Kim,92,Progressive passes per 90,Buildup
Min-Jae Kim,26,Sliding tackles per 90,Defense
Min-Jae Kim,100,Passes per 90,Buildup
Min-Jae Kim,4,Fouls suffered per 90,Chance creation
Min-Jae Kim,16,Dribbles per 90,Chance creation
Min-Jae Kim,29,Successful_dribbles,Chance creation
Min-Jae Kim,21,Penalties taken,Finishing
Min-Jae Kim,21,Penalties_won,Finishing
F. Tomori,33,xG per 90,Finishing
F. Tomori,16,xA per 90,Buildup
F. Tomori,9,Touches in box per 90,Chance creation
F. Tomori,50,Progressive runs per 90,Buildup
F. Tomori,18,Back passes per 90,Positioning
F. Tomori,96,Lateral passes per 90,Positioning
F. Tomori,92,"Average long pass length, m",Buildup
F. Tomori,20,Key passes per 90,Buildup
F. Tomori,13,Shots per 90,Positioning
F. Tomori,12,shots,Finishing
F. Tomori,77,Progressive passes per 90,Buildup
F. Tomori,56,Sliding tackles per 90,Defense
F. Tomori,88,Passes per 90,Buildup
F. Tomori,38,Fouls suffered per 90,Chance creation
F. Tomori,8,Dribbles per 90,Chance creation
F. Tomori,6,Successful_dribbles,Chance creation
F. Tomori,21,Penalties taken,Finishing
F. Tomori,21,Penalties_won,Finishing
Bremer,65,xG per 90,Finishing
Bremer,16,xA per 90,Buildup
Bremer,52,Touches in box per 90,Chance creation
Bremer,10,Progressive runs per 90,Buildup
Bremer,4,Back passes per 90,Positioning
Bremer,97,Lateral passes per 90,Positioning
Bremer,63,"Average long pass length, m",Buildup
Bremer,8,Key passes per 90,Buildup
Bremer,44,Shots per 90,Positioning
Bremer,50,shots,Finishing
Bremer,39,Progressive passes per 90,Buildup
Bremer,12,Sliding tackles per 90,Defense
Bremer,86,Passes per 90,Buildup
Bremer,10,Fouls suffered per 90,Chance creation
Bremer,8,Dribbles per 90,Chance creation
Bremer,13,Successful_dribbles,Chance creation
Bremer,21,Penalties taken,Finishing
Bremer,21,Penalties_won,Finishing
P. Kalulu,45,xG per 90,Finishing
P. Kalulu,36,xA per 90,Buildup
P. Kalulu,19,Touches in box per 90,Chance creation
P. Kalulu,62,Progressive runs per 90,Buildup
P. Kalulu,28,Back passes per 90,Positioning
P. Kalulu,91,Lateral passes per 90,Positioning
P. Kalulu,54,"Average long pass length, m",Buildup
P. Kalulu,31,Key passes per 90,Buildup
P. Kalulu,10,Shots per 90,Positioning
P. Kalulu,16,shots,Finishing
P. Kalulu,86,Progressive passes per 90,Buildup
P. Kalulu,55,Sliding tackles per 90,Defense
P. Kalulu,91,Passes per 90,Buildup
P. Kalulu,30,Fouls suffered per 90,Chance creation
P. Kalulu,17,Dribbles per 90,Chance creation
P. Kalulu,18,Successful_dribbles,Chance creation
P. Kalulu,21,Penalties taken,Finishing
P. Kalulu,21,Penalties_won,Finishing
Ibañez,45,xG per 90,Finishing
Ibañez,16,xA per 90,Buildup
Ibañez,40,Touches in box per 90,Chance creation
Ibañez,36,Progressive runs per 90,Buildup
Ibañez,16,Back passes per 90,Positioning
Ibañez,87,Lateral passes per 90,Positioning
Ibañez,66,"Average long pass length, m",Buildup
Ibañez,8,Key passes per 90,Buildup
Ibañez,38,Shots per 90,Positioning
Ibañez,22,shots,Finishing
Ibañez,56,Progressive passes per 90,Buildup
Ibañez,43,Sliding tackles per 90,Defense
Ibañez,81,Passes per 90,Buildup
Ibañez,72,Fouls suffered per 90,Chance creation
Ibañez,35,Dribbles per 90,Chance creation
Ibañez,35,Successful_dribbles,Chance creation
Ibañez,21,Penalties taken,Finishing
Ibañez,21,Penalties_won,Finishing
G. Scalvini,33,xG per 90,Finishing
G. Scalvini,16,xA per 90,Buildup
G. Scalvini,43,Touches in box per 90,Chance creation
G. Scalvini,30,Progressive runs per 90,Buildup
G. Scalvini,22,Back passes per 90,Positioning
G. Scalvini,67,Lateral passes per 90,Positioning
G. Scalvini,86,"Average long pass length, m",Buildup
G. Scalvini,8,Key passes per 90,Buildup
G. Scalvini,24,Shots per 90,Positioning
G. Scalvini,23,shots,Finishing
G. Scalvini,89,Progressive passes per 90,Buildup
G. Scalvini,64,Sliding tackles per 90,Defense
G. Scalvini,85,Passes per 90,Buildup
G. Scalvini,2,Fouls suffered per 90,Chance creation
G. Scalvini,35,Dribbles per 90,Chance creation
G. Scalvini,38,Successful_dribbles,Chance creation
G. Scalvini,21,Penalties taken,Finishing
G. Scalvini,21,Penalties_won,Finishing
M. Demiral,27,xG per 90,Finishing
M. Demiral,9,xA per 90,Buildup
M. Demiral,28,Touches in box per 90,Chance creation
M. Demiral,1,Progressive runs per 90,Buildup
M. Demiral,9,Back passes per 90,Positioning
M. Demiral,73,Lateral passes per 90,Positioning
M. Demiral,53,"Average long pass length, m",Buildup
M. Demiral,8,Key passes per 90,Buildup
M. Demiral,13,Shots per 90,Positioning
M. Demiral,26,shots,Finishing
M. Demiral,19,Progressive passes per 90,Buildup
M. Demiral,46,Sliding tackles per 90,Defense
M. Demiral,33,Passes per 90,Buildup
M. Demiral,29,Fouls suffered per 90,Chance creation
M. Demiral,12,Dribbles per 90,Chance creation
M. Demiral,23,Successful_dribbles,Chance creation
M. Demiral,21,Penalties taken,Finishing
M. Demiral,21,Penalties_won,Finishing
A. Rrahmani,45,xG per 90,Finishing
A. Rrahmani,16,xA per 90,Buildup
A. Rrahmani,45,Touches in box per 90,Chance creation
A. Rrahmani,42,Progressive runs per 90,Buildup
A. Rrahmani,17,Back passes per 90,Positioning
A. Rrahmani,100,Lateral passes per 90,Positioning
A. Rrahmani,97,"Average long pass length, m",Buildup
A. Rrahmani,22,Key passes per 90,Buildup
A. Rrahmani,40,Shots per 90,Positioning
A. Rrahmani,58,shots,Finishing
A. Rrahmani,87,Progressive passes per 90,Buildup
A. Rrahmani,41,Sliding tackles per 90,Defense
A. Rrahmani,99,Passes per 90,Buildup
A. Rrahmani,10,Fouls suffered per 90,Chance creation
A. Rrahmani,8,Dribbles per 90,Chance creation
A. Rrahmani,9,Successful_dribbles,Chance creation
A. Rrahmani,21,Penalties taken,Finishing
A. Rrahmani,21,Penalties_won,Finishing
J. Kiwior,33,xG per 90,Finishing
J. Kiwior,16,xA per 90,Buildup
J. Kiwior,27,Touches in box per 90,Chance creation
J. Kiwior,30,Progressive runs per 90,Buildup
J. Kiwior,9,Back passes per 90,Positioning
J. Kiwior,88,Lateral passes per 90,Positioning
J. Kiwior,95,"Average long pass length, m",Buildup
J. Kiwior,8,Key passes per 90,Buildup
J. Kiwior,29,Shots per 90,Positioning
J. Kiwior,24,shots,Finishing
J. Kiwior,46,Progressive passes per 90,Buildup
J. Kiwior,64,Sliding tackles per 90,Defense
J. Kiwior,65,Passes per 90,Buildup
J. Kiwior,7,Fouls suffered per 90,Chance creation
J. Kiwior,18,Dribbles per 90,Chance creation
J. Kiwior,13,Successful_dribbles,Chance creation
J. Kiwior,21,Penalties taken,Finishing
J. Kiwior,21,Penalties_won,Finishing
P. Schuurs,11,xG per 90,Finishing
P. Schuurs,23,xA per 90,Buildup
P. Schuurs,26,Touches in box per 90,Chance creation
P. Schuurs,46,Progressive runs per 90,Buildup
P. Schuurs,14,Back passes per 90,Positioning
P. Schuurs,94,Lateral passes per 90,Positioning
P. Schuurs,40,"Average long pass length, m",Buildup
P. Schuurs,22,Key passes per 90,Buildup
P. Schuurs,25,Shots per 90,Positioning
P. Schuurs,67,shots,Finishing
P. Schuurs,37,Progressive passes per 90,Buildup
P. Schuurs,60,Sliding tackles per 90,Defense
P. Schuurs,75,Passes per 90,Buildup
P. Schuurs,1,Fouls suffered per 90,Chance creation
P. Schuurs,22,Dribbles per 90,Chance creation
P. Schuurs,32,Successful_dribbles,Chance creation
P. Schuurs,21,Penalties taken,Finishing
P. Schuurs,21,Penalties_won,Finishing
N. Milenković,57,xG per 90,Finishing
N. Milenković,23,xA per 90,Buildup
N. Milenković,52,Touches in box per 90,Chance creation
N. Milenković,13,Progressive runs per 90,Buildup
N. Milenković,24,Back passes per 90,Positioning
N. Milenković,89,Lateral passes per 90,Positioning
N. Milenković,79,"Average long pass length, m",Buildup
N. Milenković,31,Key passes per 90,Buildup
N. Milenković,36,Shots per 90,Positioning
N. Milenković,34,shots,Finishing
N. Milenković,68,Progressive passes per 90,Buildup
N. Milenković,44,Sliding tackles per 90,Defense
N. Milenković,81,Passes per 90,Buildup
N. Milenković,40,Fouls suffered per 90,Chance creation
N. Milenković,1,Dribbles per 90,Chance creation
N. Milenković,1,Successful_dribbles,Chance creation
N. Milenković,21,Penalties taken,Finishing
N. Milenković,21,Penalties_won,Finishing
G. Mancini,54,xG per 90,Finishing
G. Mancini,30,xA per 90,Buildup
G. Mancini,30,Touches in box per 90,Chance creation
G. Mancini,19,Progressive runs per 90,Buildup
G. Mancini,8,Back passes per 90,Positioning
G. Mancini,78,Lateral passes per 90,Positioning
G. Mancini,90,"Average long pass length, m",Buildup
G. Mancini,38,Key passes per 90,Buildup
G. Mancini,31,Shots per 90,Positioning
G. Mancini,30,shots,Finishing
G. Mancini,82,Progressive passes per 90,Buildup
G. Mancini,26,Sliding tackles per 90,Defense
G. Mancini,74,Passes per 90,Buildup
G. Mancini,33,Fouls suffered per 90,Chance creation
G. Mancini,3,Dribbles per 90,Chance creation
G. Mancini,3,Successful_dribbles,Chance creation
G. Mancini,21,Penalties taken,Finishing
G. Mancini,21,Penalties_won,Finishing
A. Romagnoli,11,xG per 90,Finishing
A. Romagnoli,16,xA per 90,Buildup
A. Romagnoli,10,Touches in box per 90,Chance creation
A. Romagnoli,2,Progressive runs per 90,Buildup
A. Romagnoli,7,Back passes per 90,Positioning
A. Romagnoli,79,Lateral passes per 90,Positioning
A. Romagnoli,91,"Average long pass length, m",Buildup
A. Romagnoli,12,Key passes per 90,Buildup
A. Romagnoli,10,Shots per 90,Positioning
A. Romagnoli,11,shots,Finishing
A. Romagnoli,53,Progressive passes per 90,Buildup
A. Romagnoli,44,Sliding tackles per 90,Defense
A. Romagnoli,76,Passes per 90,Buildup
A. Romagnoli,22,Fouls suffered per 90,Chance creation
A. Romagnoli,1,Dribbles per 90,Chance creation
A. Romagnoli,1,Successful_dribbles,Chance creation
A. Romagnoli,21,Penalties taken,Finishing
A. Romagnoli,21,Penalties_won,Finishing
N. Casale,19,xG per 90,Finishing
N. Casale,9,xA per 90,Buildup
N. Casale,12,Touches in box per 90,Chance creation
N. Casale,30,Progressive runs per 90,Buildup
N. Casale,15,Back passes per 90,Positioning
N. Casale,88,Lateral passes per 90,Positioning
N. Casale,45,"Average long pass length, m",Buildup
N. Casale,14,Key passes per 90,Buildup
N. Casale,10,Shots per 90,Positioning
N. Casale,14,shots,Finishing
N. Casale,34,Progressive passes per 90,Buildup
N. Casale,52,Sliding tackles per 90,Defense
N. Casale,84,Passes per 90,Buildup
N. Casale,2,Fouls suffered per 90,Chance creation
N. Casale,9,Dribbles per 90,Chance creation
N. Casale,15,Successful_dribbles,Chance creation
N. Casale,21,Penalties taken,Finishing
N. Casale,21,Penalties_won,Finishing
M. Thiaw,45,xG per 90,Finishing
M. Thiaw,9,xA per 90,Buildup
M. Thiaw,28,Touches in box per 90,Chance creation
M. Thiaw,46,Progressive runs per 90,Buildup
M. Thiaw,20,Back passes per 90,Positioning
M. Thiaw,98,Lateral passes per 90,Positioning
M. Thiaw,53,"Average long pass length, m",Buildup
M. Thiaw,8,Key passes per 90,Buildup
M. Thiaw,28,Shots per 90,Positioning
M. Thiaw,26,shots,Finishing
M. Thiaw,87,Progressive passes per 90,Buildup
M. Thiaw,38,Sliding tackles per 90,Defense
M. Thiaw,93,Passes per 90,Buildup
M. Thiaw,4,Fouls suffered per 90,Chance creation
M. Thiaw,14,Dribbles per 90,Chance creation
M. Thiaw,41,Successful_dribbles,Chance creation
M. Thiaw,21,Penalties taken,Finishing
M. Thiaw,21,Penalties_won,Finishing
B. Djimsiti,11,xG per 90,Finishing
B. Djimsiti,30,xA per 90,Buildup
B. Djimsiti,9,Touches in box per 90,Chance creation
B. Djimsiti,23,Progressive runs per 90,Buildup
B. Djimsiti,16,Back passes per 90,Positioning
B. Djimsiti,89,Lateral passes per 90,Positioning
B. Djimsiti,47,"Average long pass length, m",Buildup
B. Djimsiti,18,Key passes per 90,Buildup
B. Djimsiti,3,Shots per 90,Positioning
B. Djimsiti,3,shots,Finishing
B. Djimsiti,65,Progressive passes per 90,Buildup
B. Djimsiti,82,Sliding tackles per 90,Defense
B. Djimsiti,84,Passes per 90,Buildup
B. Djimsiti,10,Fouls suffered per 90,Chance creation
B. Djimsiti,5,Dribbles per 90,Chance creation
B. Djimsiti,10,Successful_dribbles,Chance creation
B. Djimsiti,21,Penalties taken,Finishing
B. Djimsiti,21,Penalties_won,Finishing
Danilo,45,xG per 90,Finishing
Danilo,41,xA per 90,Buildup
Danilo,41,Touches in box per 90,Chance creation
Danilo,36,Progressive runs per 90,Buildup
Danilo,20,Back passes per 90,Positioning
Danilo,87,Lateral passes per 90,Positioning
Danilo,90,"Average long pass length, m",Buildup
Danilo,43,Key passes per 90,Buildup
